Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.75,1,100,0,1.314751811138051
0.75,1,200,0,1.017362013006031
0.75,1,300,0,1.0793112042711486
0.75,1,400,0,1.1181816533985784
0.75,1,500,0,1.0803017010743925
0.75,1,600,0,1.1103245905497015
0.75,1,700,0,1.2860587249346263
0.75,1,800,0,1.4274482778579451
0.75,1,900,0,1.405586370802365
0.75,1,1000,0,1.4233731950441122
0.75,1,2000,0,1.5032576211046005
0.75,1,3000,0,1.4860963331466888
0.75,1,4000,0,1.4418884948654391
0.75,1,5000,0,1.4307011558408222
0.75,1,6000,0,1.4307011558408222
0.75,1,7000,0,1.4307011558408222
0.75,1,8000,0,1.4307011558408222
0.75,1,9000,0,1.4307011558408222
0.75,1,10000,0,1.4307011558408222
0.75,1,20000,0,1.4307011558408222
0.75,1,30000,0,1.4307011558408222
0.75,1,40000,0,1.4307011558408222
0.75,1,50000,0,1.4307011558408222
0.75,1,60000,0,1.4307011558408222
0.75,1,70000,0,1.4307011558408222
0.75,1,80000,0,1.4307011558408222
0.75,1,90000,0,1.4307011558408222
0.75,1,100000,0,1.4307011558408222
0.75,1,100,1,1.4731551212178626
0.75,1,200,1,1.256489202219645
0.75,1,300,1,1.187512233309625
0.75,1,400,1,1.1797425655786666
0.75,1,500,1,1.233832190413098
0.75,1,600,1,1.3183978107611067
0.75,1,700,1,1.2370003443391901
0.75,1,800,1,1.4109451783878797
0.75,1,900,1,1.3479863417342361
0.75,1,1000,1,1.4611210954036222
0.75,1,2000,1,1.6278537052855764
0.75,1,3000,1,1.446664372339981
0.75,1,4000,1,1.4252476085494785
0.75,1,5000,1,1.3824510791593978
0.75,1,6000,1,1.3824510791593978
0.75,1,7000,1,1.3824510791593978
0.75,1,8000,1,1.3824510791593978
0.75,1,9000,1,1.3824510791593978
0.75,1,10000,1,1.3824510791593978
0.75,1,20000,1,1.3824510791593978
0.75,1,30000,1,1.3824510791593978
0.75,1,40000,1,1.3824510791593978
0.75,1,50000,1,1.3824510791593978
0.75,1,60000,1,1.3824510791593978
0.75,1,70000,1,1.3824510791593978
0.75,1,80000,1,1.3824510791593978
0.75,1,90000,1,1.3824510791593978
0.75,1,100000,1,1.3824510791593978
0.75,1,100,2,1.3275550069512008
0.75,1,200,2,1.1816360873062337
0.75,1,300,2,1.375236878856819
0.75,1,400,2,1.3172093965927496
0.75,1,500,2,1.2992159807967354
0.75,1,600,2,1.2672259000961807
0.75,1,700,2,1.2211549887606579
0.75,1,800,2,1.150824996045112
0.75,1,900,2,1.1750799451708522
0.75,1,1000,2,1.2426515533610243
0.75,1,2000,2,1.4914735675898665
0.75,1,3000,2,1.3289578538954976
0.75,1,4000,2,1.279014810150758
0.75,1,5000,2,1.2655764994220748
0.75,1,6000,2,1.2655764994220748
0.75,1,7000,2,1.2655764994220748
0.75,1,8000,2,1.2655764994220748
0.75,1,9000,2,1.2655764994220748
0.75,1,10000,2,1.2655764994220748
0.75,1,20000,2,1.2655764994220748
0.75,1,30000,2,1.2655764994220748
0.75,1,40000,2,1.2655764994220748
0.75,1,50000,2,1.2655764994220748
0.75,1,60000,2,1.2655764994220748
0.75,1,70000,2,1.2655764994220748
0.75,1,80000,2,1.2655764994220748
0.75,1,90000,2,1.2655764994220748
0.75,1,100000,2,1.2655764994220748
0.75,1,100,3,0.7553409458346502
0.75,1,200,3,0.864390819380915
0.75,1,300,3,0.8761213284360575
0.75,1,400,3,0.9949333964099212
0.75,1,500,3,0.9984073518715303
0.75,1,600,3,1.1439840513608814
0.75,1,700,3,1.1383169326017202
0.75,1,800,3,1.2739942296421587
0.75,1,900,3,1.2288827110869678
0.75,1,1000,3,1.2014962863634726
0.75,1,2000,3,1.3475703732352386
0.75,1,3000,3,1.3071165449913136
0.75,1,4000,3,1.3165779318934492
0.75,1,5000,3,1.3825026430415925
0.75,1,6000,3,1.3825026430415925
0.75,1,7000,3,1.3825026430415925
0.75,1,8000,3,1.3825026430415925
0.75,1,9000,3,1.3825026430415925
0.75,1,10000,3,1.3825026430415925
0.75,1,20000,3,1.3825026430415925
0.75,1,30000,3,1.3825026430415925
0.75,1,40000,3,1.3825026430415925
0.75,1,50000,3,1.3825026430415925
0.75,1,60000,3,1.3825026430415925
0.75,1,70000,3,1.3825026430415925
0.75,1,80000,3,1.3825026430415925
0.75,1,90000,3,1.3825026430415925
0.75,1,100000,3,1.3825026430415925
0.75,1,100,4,0.7158916018667805
0.75,1,200,4,0.8893304661834633
0.75,1,300,4,1.013705409842091
0.75,1,400,4,1.0307814420477976
0.75,1,500,4,1.0848382506568692
0.75,1,600,4,1.1524250153920659
0.75,1,700,4,1.188644140873786
0.75,1,800,4,1.1736286495570745
0.75,1,900,4,1.2212688145568193
0.75,1,1000,4,1.272765397006588
0.75,1,2000,4,1.5613681558124208
0.75,1,3000,4,1.4562889347285604
0.75,1,4000,4,1.4907146494790722
0.75,1,5000,4,1.448660590546213
0.75,1,6000,4,1.448660590546213
0.75,1,7000,4,1.448660590546213
0.75,1,8000,4,1.448660590546213
0.75,1,9000,4,1.448660590546213
0.75,1,10000,4,1.448660590546213
0.75,1,20000,4,1.448660590546213
0.75,1,30000,4,1.448660590546213
0.75,1,40000,4,1.448660590546213
0.75,1,50000,4,1.448660590546213
0.75,1,60000,4,1.448660590546213
0.75,1,70000,4,1.448660590546213
0.75,1,80000,4,1.448660590546213
0.75,1,90000,4,1.448660590546213
0.75,1,100000,4,1.448660590546213
0.75,1,100,5,0.6335203507533168
0.75,1,200,5,1.3357996666539527
0.75,1,300,5,1.5634275496106107
0.75,1,400,5,1.4031546551273077
0.75,1,500,5,1.2486465067898809
0.75,1,600,5,1.8310167144348986
0.75,1,700,5,1.8160223631309191
0.75,1,800,5,1.7061217838838036
0.75,1,900,5,1.625648469923503
0.75,1,1000,5,1.531754639192519
0.75,1,2000,5,1.3963118169494386
0.75,1,3000,5,1.3462027623104866
0.75,1,4000,5,1.3189338967802633
0.75,1,5000,5,1.3260623940052716
0.75,1,6000,5,1.3260623940052716
0.75,1,7000,5,1.3260623940052716
0.75,1,8000,5,1.3260623940052716
0.75,1,9000,5,1.3260623940052716
0.75,1,10000,5,1.3260623940052716
0.75,1,20000,5,1.3260623940052716
0.75,1,30000,5,1.3260623940052716
0.75,1,40000,5,1.3260623940052716
0.75,1,50000,5,1.3260623940052716
0.75,1,60000,5,1.3260623940052716
0.75,1,70000,5,1.3260623940052716
0.75,1,80000,5,1.3260623940052716
0.75,1,90000,5,1.3260623940052716
0.75,1,100000,5,1.3260623940052716
0.75,1,100,6,1.4115725251046212
0.75,1,200,6,1.3837833268760535
0.75,1,300,6,1.2387062254424333
0.75,1,400,6,1.375507835036146
0.75,1,500,6,1.3011128006161743
0.75,1,600,6,1.1976451164922275
0.75,1,700,6,1.3230712331109344
0.75,1,800,6,1.3681638529444453
0.75,1,900,6,1.4112369157070972
0.75,1,1000,6,1.3653421232914402
0.75,1,2000,6,1.374832114679568
0.75,1,3000,6,1.3076060365166522
0.75,1,4000,6,1.5644130375809326
0.75,1,5000,6,1.5021369748659688
0.75,1,6000,6,1.5021369748659688
0.75,1,7000,6,1.5021369748659688
0.75,1,8000,6,1.5021369748659688
0.75,1,9000,6,1.5021369748659688
0.75,1,10000,6,1.5021369748659688
0.75,1,20000,6,1.5021369748659688
0.75,1,30000,6,1.5021369748659688
0.75,1,40000,6,1.5021369748659688
0.75,1,50000,6,1.5021369748659688
0.75,1,60000,6,1.5021369748659688
0.75,1,70000,6,1.5021369748659688
0.75,1,80000,6,1.5021369748659688
0.75,1,90000,6,1.5021369748659688
0.75,1,100000,6,1.5021369748659688
0.75,1,100,7,1.089140758581877
0.75,1,200,7,1.0515706953715769
0.75,1,300,7,0.9654923567564472
0.75,1,400,7,0.9528177101531434
0.75,1,500,7,1.2224102592540163
0.75,1,600,7,1.2207449409031983
0.75,1,700,7,1.3688662456054705
0.75,1,800,7,1.4912349934090718
0.75,1,900,7,1.4702038392348564
0.75,1,1000,7,1.407576137064652
0.75,1,2000,7,1.1287305690194978
0.75,1,3000,7,1.175117198277569
0.75,1,4000,7,1.1901300946459068
0.75,1,5000,7,1.1762051742106086
0.75,1,6000,7,1.1762051742106086
0.75,1,7000,7,1.1762051742106086
0.75,1,8000,7,1.1762051742106086
