Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.75,1,100,0,1.3715920008668516
0.75,1,200,0,1.7253283835741455
0.75,1,300,0,1.5228577217370705
0.75,1,400,0,1.3379453627993307
0.75,1,500,0,1.2858334069509587
0.75,1,600,0,1.269528051604522
0.75,1,700,0,1.3473083367460006
0.75,1,800,0,1.356685293458283
0.75,1,900,0,1.3099279186650266
0.75,1,1000,0,1.2241601090737404
0.75,1,2000,0,1.2401269706166167
0.75,1,3000,0,1.3685633877809535
0.75,1,4000,0,1.348216772953358
0.75,1,5000,0,1.3543020224438336
0.75,1,6000,0,1.3543020224438336
0.75,1,7000,0,1.3543020224438336
0.75,1,8000,0,1.3543020224438336
0.75,1,9000,0,1.3543020224438336
0.75,1,10000,0,1.3543020224438336
0.75,1,20000,0,1.3543020224438336
0.75,1,30000,0,1.3543020224438336
0.75,1,40000,0,1.3543020224438336
0.75,1,50000,0,1.3543020224438336
0.75,1,60000,0,1.3543020224438336
0.75,1,70000,0,1.3543020224438336
0.75,1,80000,0,1.3543020224438336
0.75,1,90000,0,1.3543020224438336
0.75,1,100000,0,1.3543020224438336
0.75,1,100,1,0.6020189413095559
0.75,1,200,1,1.0122414642344597
0.75,1,300,1,1.1569636510388894
0.75,1,400,1,1.2196987675889852
0.75,1,500,1,1.0767581425423285
0.75,1,600,1,1.04891396726059
0.75,1,700,1,1.0028543132599395
0.75,1,800,1,1.0077976969758267
0.75,1,900,1,1.0058753663805915
0.75,1,1000,1,1.057794416867248
0.75,1,2000,1,1.2621372030868565
0.75,1,3000,1,1.2798671752731265
0.75,1,4000,1,1.2847369824810289
0.75,1,5000,1,1.2786941917373278
0.75,1,6000,1,1.2786941917373278
0.75,1,7000,1,1.2786941917373278
0.75,1,8000,1,1.2786941917373278
0.75,1,9000,1,1.2786941917373278
0.75,1,10000,1,1.2786941917373278
0.75,1,20000,1,1.2786941917373278
0.75,1,30000,1,1.2786941917373278
0.75,1,40000,1,1.2786941917373278
0.75,1,50000,1,1.2786941917373278
0.75,1,60000,1,1.2786941917373278
0.75,1,70000,1,1.2786941917373278
0.75,1,80000,1,1.2786941917373278
0.75,1,90000,1,1.2786941917373278
0.75,1,100000,1,1.2786941917373278
0.75,1,100,2,0.8354761747300313
0.75,1,200,2,0.8860730004187312
0.75,1,300,2,1.0385780412298953
0.75,1,400,2,1.0881160141651811
0.75,1,500,2,1.32718869867273
0.75,1,600,2,1.2982938821187178
0.75,1,700,2,1.3186943420227395
0.75,1,800,2,1.378061969103726
0.75,1,900,2,1.324144175660442
0.75,1,1000,2,1.3190067387395252
0.75,1,2000,2,1.5288296497578266
0.75,1,3000,2,1.5651643996488565
0.75,1,4000,2,1.6471284962448585
0.75,1,5000,2,1.6070084419714563
0.75,1,6000,2,1.6070084419714563
0.75,1,7000,2,1.6070084419714563
0.75,1,8000,2,1.6070084419714563
0.75,1,9000,2,1.6070084419714563
0.75,1,10000,2,1.6070084419714563
0.75,1,20000,2,1.6070084419714563
0.75,1,30000,2,1.6070084419714563
0.75,1,40000,2,1.6070084419714563
0.75,1,50000,2,1.6070084419714563
0.75,1,60000,2,1.6070084419714563
0.75,1,70000,2,1.6070084419714563
0.75,1,80000,2,1.6070084419714563
0.75,1,90000,2,1.6070084419714563
0.75,1,100000,2,1.6070084419714563
0.75,1,100,3,1.1988029564472213
0.75,1,200,3,1.5039459641304984
0.75,1,300,3,1.5843451135016096
0.75,1,400,3,1.5897687806299148
0.75,1,500,3,1.4171252416281575
0.75,1,600,3,1.433748060092827
0.75,1,700,3,1.4347767603510333
0.75,1,800,3,1.3940295948346713
0.75,1,900,3,1.399429107680625
0.75,1,1000,3,1.3051407763118834
0.75,1,2000,3,1.4368658750266843
0.75,1,3000,3,1.3106180695459204
0.75,1,4000,3,1.2972225257307515
0.75,1,5000,3,1.3855198602981085
0.75,1,6000,3,1.3855198602981085
0.75,1,7000,3,1.3855198602981085
0.75,1,8000,3,1.3855198602981085
0.75,1,9000,3,1.3855198602981085
0.75,1,10000,3,1.3855198602981085
0.75,1,20000,3,1.3855198602981085
0.75,1,30000,3,1.3855198602981085
0.75,1,40000,3,1.3855198602981085
0.75,1,50000,3,1.3855198602981085
0.75,1,60000,3,1.3855198602981085
0.75,1,70000,3,1.3855198602981085
0.75,1,80000,3,1.3855198602981085
0.75,1,90000,3,1.3855198602981085
0.75,1,100000,3,1.3855198602981085
0.75,1,100,4,2.490262916739671
0.75,1,200,4,1.5481914281991251
0.75,1,300,4,1.1971742926904945
0.75,1,400,4,1.2101927139047084
0.75,1,500,4,1.307735236956905
0.75,1,600,4,1.2524771385527518
0.75,1,700,4,1.3475778049654654
0.75,1,800,4,1.3833989313055488
0.75,1,900,4,1.3436064622068287
0.75,1,1000,4,1.3308802687628192
0.75,1,2000,4,1.2632837680027933
0.75,1,3000,4,1.3888082352741384
0.75,1,4000,4,1.3671396788718562
0.75,1,5000,4,1.3552617191330747
0.75,1,6000,4,1.3552617191330747
0.75,1,7000,4,1.3552617191330747
0.75,1,8000,4,1.3552617191330747
0.75,1,9000,4,1.3552617191330747
0.75,1,10000,4,1.3552617191330747
0.75,1,20000,4,1.3552617191330747
0.75,1,30000,4,1.3552617191330747
0.75,1,40000,4,1.3552617191330747
0.75,1,50000,4,1.3552617191330747
0.75,1,60000,4,1.3552617191330747
0.75,1,70000,4,1.3552617191330747
0.75,1,80000,4,1.3552617191330747
0.75,1,90000,4,1.3552617191330747
0.75,1,100000,4,1.3552617191330747
0.75,1,100,5,0.7916917832889467
0.75,1,200,5,1.3712113564491484
0.75,1,300,5,1.2421645933441585
0.75,1,400,5,1.0831199011193207
0.75,1,500,5,1.1833217783176724
0.75,1,600,5,1.264439552549516
0.75,1,700,5,1.3306555725039673
0.75,1,800,5,1.2563493131572234
0.75,1,900,5,1.3808371502072871
0.75,1,1000,5,1.3088575827239552
0.75,1,2000,5,1.2820435737369862
0.75,1,3000,5,1.219841835453584
0.75,1,4000,5,1.5494709547113137
0.75,1,5000,5,1.510309142413755
0.75,1,6000,5,1.510309142413755
0.75,1,7000,5,1.510309142413755
0.75,1,8000,5,1.510309142413755
0.75,1,9000,5,1.510309142413755
0.75,1,10000,5,1.510309142413755
0.75,1,20000,5,1.510309142413755
0.75,1,30000,5,1.510309142413755
0.75,1,40000,5,1.510309142413755
0.75,1,50000,5,1.510309142413755
0.75,1,60000,5,1.510309142413755
0.75,1,70000,5,1.510309142413755
0.75,1,80000,5,1.510309142413755
0.75,1,90000,5,1.510309142413755
