Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.75,4,100,0,0.3950267988068454
0.75,4,200,0,0.9225683055407782
0.75,4,300,0,0.9185963698129614
0.75,4,400,0,0.9128793078938532
0.75,4,500,0,1.0552642161178578
0.75,4,600,0,1.0646446001023253
0.75,4,700,0,1.175567816444238
0.75,4,800,0,1.196857781238938
0.75,4,900,0,1.246276427884006
0.75,4,1000,0,1.1916536112352847
0.75,4,2000,0,1.201879304707405
0.75,4,3000,0,1.2731410679645818
0.75,4,4000,0,1.1458498048720616
0.75,4,5000,0,1.1098256504594928
0.75,4,6000,0,1.153961857595407
0.75,4,7000,0,1.333083068977476
0.75,4,8000,0,1.3715098078168249
0.75,4,9000,0,1.385031430183769
0.75,4,10000,0,1.385031430183769
0.75,4,20000,0,1.385031430183769
0.75,4,30000,0,1.385031430183769
0.75,4,40000,0,1.385031430183769
0.75,4,50000,0,1.385031430183769
0.75,4,60000,0,1.385031430183769
0.75,4,70000,0,1.385031430183769
0.75,4,80000,0,1.385031430183769
0.75,4,90000,0,1.385031430183769
0.75,4,100000,0,1.385031430183769
0.75,4,100,1,0.7076176437299856
0.75,4,200,1,0.5729654969229065
0.75,4,300,1,0.8524497101399335
0.75,4,400,1,1.1130003706838998
0.75,4,500,1,1.0183230396162448
0.75,4,600,1,1.3656330425365284
0.75,4,700,1,3.780750332876635
0.75,4,800,1,4.4212156945896215
0.75,4,900,1,3.952919638821455
0.75,4,1000,1,3.5862883288819196
0.75,4,2000,1,2.7423582329066156
0.75,4,3000,1,2.330139187026253
0.75,4,4000,1,2.2056266982723396
0.75,4,5000,1,1.9744293056819158
0.75,4,6000,1,1.9511933825731178
0.75,4,7000,1,1.796564217568955
0.75,4,8000,1,1.700398498447167
0.75,4,9000,1,1.652157644788434
0.75,4,10000,1,1.6521888340521538
0.75,4,20000,1,1.6521888340521538
0.75,4,30000,1,1.6521888340521538
0.75,4,40000,1,1.6521888340521538
0.75,4,50000,1,1.6521888340521538
0.75,4,60000,1,1.6521888340521538
0.75,4,70000,1,1.6521888340521538
0.75,4,80000,1,1.6521888340521538
0.75,4,90000,1,1.6521888340521538
0.75,4,100000,1,1.6521888340521538
0.75,4,100,2,2.4734938466125094
0.75,4,200,2,1.6736622343343595
0.75,4,300,2,1.3400031325777493
0.75,4,400,2,1.9979185843612348
0.75,4,500,2,1.9914933235101218
0.75,4,600,2,1.8553110597083764
0.75,4,700,2,1.7346538576100994
0.75,4,800,2,1.5557312800329754
0.75,4,900,2,1.7233747654994114
0.75,4,1000,2,1.6447591623622606
0.75,4,2000,2,2.7843751423695706
0.75,4,3000,2,2.4278538487677905
0.75,4,4000,2,2.6576996861352007
0.75,4,5000,2,2.4737956756585975
0.75,4,6000,2,2.2746843118998865
0.75,4,7000,2,2.091946321154929
0.75,4,8000,2,2.0483651490564174
0.75,4,9000,2,2.0151957525421715
0.75,4,10000,2,1.986271822719028
0.75,4,20000,2,1.986271822719028
0.75,4,30000,2,1.986271822719028
0.75,4,40000,2,1.986271822719028
0.75,4,50000,2,1.986271822719028
0.75,4,60000,2,1.986271822719028
0.75,4,70000,2,1.986271822719028
0.75,4,80000,2,1.986271822719028
0.75,4,90000,2,1.986271822719028
0.75,4,100000,2,1.986271822719028
0.75,4,100,3,0.34002043997736714
0.75,4,200,3,0.6456846070738418
0.75,4,300,3,1.5508789180628473
0.75,4,400,3,1.3399114018401483
0.75,4,500,3,1.1157721666988656
0.75,4,600,3,1.0564517502623973
0.75,4,700,3,1.3012544608126788
0.75,4,800,3,1.5854648978985586
0.75,4,900,3,1.7900601875175282
0.75,4,1000,3,1.6331029733727538
0.75,4,2000,3,1.9779811013427118
0.75,4,3000,3,1.5848539831573745
0.75,4,4000,3,1.506499530179297
0.75,4,5000,3,1.4798105694895847
0.75,4,6000,3,1.9459023083930225
0.75,4,7000,3,1.8130619471768878
0.75,4,8000,3,1.7174557143581237
0.75,4,9000,3,1.7096896427893902
0.75,4,10000,3,1.7057135553239182
0.75,4,20000,3,1.7057135553239182
0.75,4,30000,3,1.7057135553239182
0.75,4,40000,3,1.7057135553239182
0.75,4,50000,3,1.7057135553239182
0.75,4,60000,3,1.7057135553239182
0.75,4,70000,3,1.7057135553239182
0.75,4,80000,3,1.7057135553239182
0.75,4,90000,3,1.7057135553239182
0.75,4,100000,3,1.7057135553239182
0.75,4,100,4,0.08626783248893326
0.75,4,200,4,0.2804607938303232
0.75,4,300,4,1.2280718748364876
0.75,4,400,4,1.0134659883160493
0.75,4,500,4,1.0463139389521987
0.75,4,600,4,0.9680362600704435
0.75,4,700,4,0.9986853319658806
0.75,4,800,4,0.9938704910080073
0.75,4,900,4,1.1233619637113612
0.75,4,1000,4,1.9236680461851565
0.75,4,2000,4,3.3266189365810637
0.75,4,3000,4,2.8104750903392524
0.75,4,4000,4,2.2521678073202933
0.75,4,5000,4,2.2583108639544682
0.75,4,6000,4,2.5241712168061046
0.75,4,7000,4,2.3138979611966533
0.75,4,8000,4,2.325255870890658
0.75,4,9000,4,2.152387278521553
0.75,4,10000,4,2.142511836135311
0.75,4,20000,4,2.142511836135311
0.75,4,30000,4,2.142511836135311
0.75,4,40000,4,2.142511836135311
0.75,4,50000,4,2.142511836135311
0.75,4,60000,4,2.142511836135311
0.75,4,70000,4,2.142511836135311
0.75,4,80000,4,2.142511836135311
0.75,4,90000,4,2.142511836135311
0.75,4,100000,4,2.142511836135311
0.75,4,100,5,2.4628844690080998
0.75,4,200,5,1.6397421330264443
0.75,4,300,5,1.7776069601813205
0.75,4,400,5,1.6514587547113866
0.75,4,500,5,2.1358861175657813
0.75,4,600,5,1.7820212631397696
0.75,4,700,5,1.710800582176842
0.75,4,800,5,1.5281006189759203
0.75,4,900,5,1.4531964287356605
0.75,4,1000,5,1.381320995893057
0.75,4,2000,5,1.0130602697336941
0.75,4,3000,5,1.1555660780105665
0.75,4,4000,5,1.275959741974117
0.75,4,5000,5,1.5376832026958545
0.75,4,6000,5,1.4525954308570534
0.75,4,7000,5,1.4368270826977516
0.75,4,8000,5,1.562060801673626
0.75,4,9000,5,1.496226686189346
0.75,4,10000,5,1.4911732824844686
0.75,4,20000,5,1.4911732824844686
0.75,4,30000,5,1.4911732824844686
0.75,4,40000,5,1.4911732824844686
0.75,4,50000,5,1.4911732824844686
0.75,4,60000,5,1.4911732824844686
0.75,4,70000,5,1.4911732824844686
0.75,4,80000,5,1.4911732824844686
0.75,4,90000,5,1.4911732824844686
0.75,4,100000,5,1.4911732824844686
0.75,4,100,6,1.3101234067236525
0.75,4,200,6,1.5193463548840505
0.75,4,300,6,1.2610561160616889
0.75,4,400,6,1.0240389233041234
0.75,4,500,6,0.9225821659900425
0.75,4,600,6,0.917457016279584
0.75,4,700,6,1.1755218626287953
0.75,4,800,6,1.0489017911704377
0.75,4,900,6,1.0178181822568035
