Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.9,4,10,0,0.0
0.9,4,1010,0,0.7971047233987112
0.9,4,2010,0,0.7957122427273357
0.9,4,3010,0,0.7761556155573688
0.9,4,4010,0,0.8324865950767956
0.9,4,5010,0,0.9202450073937416
0.9,4,6010,0,0.8626321956675843
0.9,4,7010,0,0.9352686101635626
0.9,4,8010,0,0.9253325246133824
0.9,4,9010,0,0.9252815516299985
0.9,4,10010,0,0.9160251894434168
0.9,4,11010,0,0.8883871392813201
0.9,4,12010,0,0.8856056754967873
0.9,4,13010,0,0.8771050408363205
0.9,4,14010,0,0.9798236877989925
0.9,4,15010,0,0.9843662685962102
0.9,4,16010,0,0.9607191625929015
0.9,4,17010,0,0.9511431900299508
0.9,4,18010,0,0.9411182433204854
0.9,4,19010,0,0.9592679591561751
0.9,4,20010,0,0.9526038388473314
0.9,4,21010,0,0.9605366569062577
0.9,4,22010,0,0.9425943558367845
0.9,4,23010,0,0.9425943558367845
0.9,4,24010,0,0.9425943558367845
0.9,4,25010,0,0.9425943558367845
0.9,4,26010,0,0.9425943558367845
0.9,4,27010,0,0.9425943558367845
0.9,4,28010,0,0.9425943558367845
0.9,4,29010,0,0.9425943558367845
0.9,4,10,1,0.26357205302040415
0.9,4,1010,1,0.6532456386309639
0.9,4,2010,1,0.7620646537942205
0.9,4,3010,1,0.8068316543749671
0.9,4,4010,1,0.7186534931077126
0.9,4,5010,1,0.7687451451973607
0.9,4,6010,1,0.9535032810325655
0.9,4,7010,1,0.9561527501009982
0.9,4,8010,1,0.9660896860134358
0.9,4,9010,1,0.9732205735683249
0.9,4,10010,1,0.9873632963622848
0.9,4,11010,1,0.9722029781389704
0.9,4,12010,1,0.9640832813764043
0.9,4,13010,1,1.129626897085881
0.9,4,14010,1,1.1416622498733355
0.9,4,15010,1,1.1601878508495143
0.9,4,16010,1,1.1399388976819123
0.9,4,17010,1,1.2598539157614141
0.9,4,18010,1,1.2426477584000142
0.9,4,19010,1,1.2174108772010683
0.9,4,20010,1,1.18594382876204
0.9,4,21010,1,1.1822777868046095
0.9,4,22010,1,1.1772926727820976
0.9,4,23010,1,1.1772926727820976
0.9,4,24010,1,1.1772926727820976
0.9,4,25010,1,1.1772926727820976
0.9,4,26010,1,1.1772926727820976
0.9,4,27010,1,1.1772926727820976
0.9,4,28010,1,1.1772926727820976
0.9,4,29010,1,1.1772926727820976
0.9,4,10,2,0.1346733412451358
0.9,4,1010,2,0.7126442951998168
0.9,4,2010,2,0.7601426962169106
0.9,4,3010,2,0.8159427187445578
0.9,4,4010,2,0.7194629472550731
0.9,4,5010,2,0.6566200257642066
