Iteration,Load Factor,Servers,Customers,Mean Wait Time
0,0.75,1,100,1.622421269632576
0,0.75,1,200,2.35165164126129
0,0.75,1,300,2.5924401465939457
0,0.75,1,400,2.8220681480991265
0,0.75,1,500,2.7859281451562588
0,0.75,1,600,2.9913231748970563
0,0.75,1,700,2.810964677048873
0,0.75,1,800,2.5519570465216725
0,0.75,1,900,2.5065423714610873
0,0.75,1,1000,2.4846074986174753
0,0.75,1,2000,2.869806877135856
0,0.75,1,3000,3.0675933189023104
0,0.75,1,4000,3.4674221993755365
0,0.75,1,5000,3.1651598652175004
0,0.75,1,6000,3.142168103448807
0,0.75,1,7000,2.983229919451815
0,0.75,1,8000,2.9960502617717926
0,0.75,1,9000,2.9325841528685923
0,0.75,1,10000,2.893482210770311
0,0.75,1,20000,3.242964976228974
0,0.75,1,30000,3.082211877839316
0,0.75,1,40000,2.9066337535519926
1,0.75,1,100,1.4921569610179513
1,0.75,1,200,4.8167242588316075
1,0.75,1,300,3.8822051603258063
1,0.75,1,400,4.156834478758936
1,0.75,1,500,4.227473496834084
1,0.75,1,600,3.8523425957367303
1,0.75,1,700,3.899006009707901
1,0.75,1,800,4.021739566469708
1,0.75,1,900,3.695520850502289
1,0.75,1,1000,3.6288595738963183
1,0.75,1,2000,3.057538995784416
1,0.75,1,3000,2.7254572483288544
1,0.75,1,4000,2.6557471736414464
1,0.75,1,5000,2.722139194780689
1,0.75,1,6000,2.9540392732402827
1,0.75,1,7000,2.895438318564682
1,0.75,1,8000,2.9432791764401274
1,0.75,1,9000,2.883547125349914
1,0.75,1,10000,2.8997332148039847
1,0.75,1,20000,2.817435878507639
1,0.75,1,30000,2.95796558932237
1,0.75,1,40000,2.9285297769620446
2,0.75,1,100,1.1928895491934859
2,0.75,1,200,1.3671183133125233
2,0.75,1,300,1.5168162569181862
2,0.75,1,400,1.582583006911525
2,0.75,1,500,1.6274110189062254
2,0.75,1,600,1.769711995933039
2,0.75,1,700,2.06227761585587
2,0.75,1,800,2.2516784938291208
2,0.75,1,900,2.2733045923624893
2,0.75,1,1000,2.330128309612466
2,0.75,1,2000,2.619082717874975
2,0.75,1,3000,2.687137321864211
2,0.75,1,4000,2.8716691203098152
2,0.75,1,5000,3.035670703391521
2,0.75,1,6000,2.839881874792829
2,0.75,1,7000,2.782343924084521
2,0.75,1,8000,2.7218759419250627
2,0.75,1,9000,2.672763949613234
2,0.75,1,10000,2.5826597408456298
2,0.75,1,20000,2.8193849562078337
2,0.75,1,30000,2.8940771598156094
2,0.75,1,40000,3.015532937118492
3,0.75,1,100,1.8977675818112132
3,0.75,1,200,2.2231437999259565
3,0.75,1,300,1.9855406754898923
3,0.75,1,400,2.0543363250237228
3,0.75,1,500,2.104405801652985
3,0.75,1,600,2.0882479847555118
3,0.75,1,700,1.9913609233292089
3,0.75,1,800,1.859961809101033
3,0.75,1,900,2.1610563059153813
3,0.75,1,1000,2.505880724767036
3,0.75,1,2000,2.497343253340847
3,0.75,1,3000,2.8181386325913786
3,0.75,1,4000,2.7028051282432246
3,0.75,1,5000,2.807105030454476
3,0.75,1,6000,2.883432864232964
3,0.75,1,7000,2.7790645470649395
3,0.75,1,8000,2.668777889294394
3,0.75,1,9000,2.7073668349590823
3,0.75,1,10000,2.81310691983662
3,0.75,1,20000,2.8997386173209585
3,0.75,1,30000,2.822501524720693
3,0.75,1,40000,2.8330913306747525
4,0.75,1,100,2.6155348207785467
4,0.75,1,200,2.3816353614538497
4,0.75,1,300,2.2435043934609205
4,0.75,1,400,2.8717515914621714
4,0.75,1,500,3.608301033705995
4,0.75,1,600,3.259529441831518
4,0.75,1,700,2.994654052298986
4,0.75,1,800,2.7766202921940364
4,0.75,1,900,2.6517198215701057
4,0.75,1,1000,2.5608098652090985
4,0.75,1,2000,2.447207400491346
4,0.75,1,3000,3.2374288895645575
4,0.75,1,4000,3.046736485192856
4,0.75,1,5000,2.9156346805218143
4,0.75,1,6000,2.8904816523375496
4,0.75,1,7000,2.7446127273362415
4,0.75,1,8000,2.7607355940467335
4,0.75,1,9000,2.7432568980044936
4,0.75,1,10000,2.9425891060813143
4,0.75,1,20000,3.0920140320945437
