Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.75,1,100,0,1.9571430716067666
0.75,1,200,0,2.521874085685509
0.75,1,300,0,3.592362637643974
0.75,1,400,0,3.117924044239737
0.75,1,500,0,3.5531985686450533
0.75,1,600,0,3.4210614758886275
0.75,1,700,0,3.252875465127813
0.75,1,800,0,3.05728653267601
0.75,1,900,0,3.209425839636327
0.75,1,1000,0,3.080748187598919
0.75,1,2000,0,2.5394236153323577
0.75,1,3000,0,2.4919887273654813
0.75,1,4000,0,2.565854930156941
0.75,1,5000,0,2.5710077051258162
0.75,1,6000,0,2.6088118711740753
0.75,1,7000,0,2.6757482976028912
0.75,1,8000,0,2.630219575843224
0.75,1,9000,0,2.8653964732657995
0.75,1,10000,0,2.8902563023920314
0.75,1,20000,0,2.8547702763557017
0.75,1,30000,0,3.0960878636866522
0.75,1,40000,0,2.9980737348534867
0.75,1,100,1,1.5909936391314061
0.75,1,200,1,2.1178465297375855
0.75,1,300,1,2.4516230139940225
0.75,1,400,1,2.3437064867683204
0.75,1,500,1,3.6686292030219505
0.75,1,600,1,3.40105448310647
0.75,1,700,1,3.185843988776691
0.75,1,800,1,3.1966004692874335
0.75,1,900,1,3.394582320774104
0.75,1,1000,1,3.411163932772947
0.75,1,2000,1,3.1057658871921823
0.75,1,3000,1,5.019884785774197
0.75,1,4000,1,4.289646385116381
0.75,1,5000,1,4.01705803535842
0.75,1,6000,1,3.730131129927408
0.75,1,7000,1,3.6573109121121483
0.75,1,8000,1,3.4798403655033012
0.75,1,9000,1,3.367617287147794
0.75,1,10000,1,3.4160094131336693
0.75,1,20000,1,3.2782689587977365
0.75,1,30000,1,3.094377124644785
0.75,1,40000,1,3.0132043312728762
0.75,1,100,2,1.9768147828669609
0.75,1,200,2,2.376784232681932
0.75,1,300,2,2.626882208333872
0.75,1,400,2,2.6194398520657365
0.75,1,500,2,2.7381483432734184
0.75,1,600,2,2.859090162079695
0.75,1,700,2,2.6475793781526864
0.75,1,800,2,2.630207012191785
0.75,1,900,2,2.5457188746040953
0.75,1,1000,2,2.428153629639709
0.75,1,2000,2,3.0749051664494256
0.75,1,3000,2,2.9340034432061386
0.75,1,4000,2,2.658736657032342
0.75,1,5000,2,2.7143924048379384
0.75,1,6000,2,2.9731184891108073
0.75,1,7000,2,3.4200390704125088
0.75,1,8000,2,3.406913814627111
0.75,1,9000,2,3.3151680170057896
0.75,1,10000,2,3.309815338335636
0.75,1,20000,2,3.085954676366877
0.75,1,30000,2,3.1133528479873616
0.75,1,40000,2,2.973127270441501
