Load Factor,Servers,Customers,Iteration,Mean Wait Time
0.75,1,100,0,0.7595077668789877
0.75,1,200,0,0.8347383921842203
0.75,1,300,0,0.9213148005193837
0.75,1,400,0,0.9177791001146858
0.75,1,500,0,1.107030504734079
0.75,1,600,0,1.0336375933978361
0.75,1,700,0,1.0473497194448866
0.75,1,800,0,1.02664215837798
0.75,1,900,0,1.0761201743282347
0.75,1,1000,0,1.1262984701930423
0.75,1,2000,0,1.4066390523532823
0.75,1,3000,0,1.492510897559691
0.75,1,4000,0,1.51442058538418
0.75,1,5000,0,1.535802472601986
0.75,1,6000,0,1.535802472601986
0.75,1,7000,0,1.535802472601986
0.75,1,8000,0,1.535802472601986
0.75,1,9000,0,1.535802472601986
0.75,1,10000,0,1.535802472601986
0.75,1,20000,0,1.535802472601986
0.75,1,30000,0,1.535802472601986
0.75,1,40000,0,1.535802472601986
0.75,1,50000,0,1.535802472601986
0.75,1,60000,0,1.535802472601986
0.75,1,70000,0,1.535802472601986
0.75,1,80000,0,1.535802472601986
0.75,1,90000,0,1.535802472601986
0.75,1,100000,0,1.535802472601986
0.75,1,100,1,1.3912153715905424
0.75,1,200,1,1.421442905178792
0.75,1,300,1,1.220423445536101
0.75,1,400,1,1.288112642996842
0.75,1,500,1,1.2954244111136617
0.75,1,600,1,1.2561439573460285
0.75,1,700,1,1.3299671588392539
0.75,1,800,1,1.2841241578165643
0.75,1,900,1,1.2544813758856581
0.75,1,1000,1,1.3139319613682439
0.75,1,2000,1,1.3444962820553163
0.75,1,3000,1,1.443621369984181
0.75,1,4000,1,1.504889477772912
0.75,1,5000,1,1.5842120341194683
0.75,1,6000,1,1.5842120341194683
0.75,1,7000,1,1.5842120341194683
0.75,1,8000,1,1.5842120341194683
0.75,1,9000,1,1.5842120341194683
0.75,1,10000,1,1.5842120341194683
0.75,1,20000,1,1.5842120341194683
0.75,1,30000,1,1.5842120341194683
0.75,1,40000,1,1.5842120341194683
0.75,1,50000,1,1.5842120341194683
0.75,1,60000,1,1.5842120341194683
0.75,1,70000,1,1.5842120341194683
0.75,1,80000,1,1.5842120341194683
0.75,1,90000,1,1.5842120341194683
0.75,1,100000,1,1.5842120341194683
0.75,1,100,2,1.771333991478096
0.75,1,200,2,1.467177123271108
0.75,1,300,2,1.3865516349508746
0.75,1,400,2,1.3949225259703824
0.75,1,500,2,1.300054672703906
0.75,1,600,2,1.3302465295959296
0.75,1,700,2,1.328910403120888
0.75,1,800,2,1.3981988302768626
0.75,1,900,2,1.347869280470915
0.75,1,1000,2,1.3572171577629526
0.75,1,2000,2,1.638231738802398
0.75,1,3000,2,1.5294704120285283
0.75,1,4000,2,1.5106959989140636
0.75,1,5000,2,1.4807843787290278
0.75,1,6000,2,1.4807843787290278
0.75,1,7000,2,1.4807843787290278
0.75,1,8000,2,1.4807843787290278
0.75,1,9000,2,1.4807843787290278
0.75,1,10000,2,1.4807843787290278
